ANID,Chemgrp,Site_Country,Site_State,Site_Name,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Y,Zr,Nb,Th
ZZ029,SALTARA,Chile,Atacama,Salar de Tara,40378.6,11295.6,1407.3,551.4,12865.6,73.2,249.2,177.5,41.7,242.1,22.9,23.3
ZZ030,SALTARA,Chile,Atacama,Salar de Tara,41898.8,11766.5,1460,582,12514.5,70.3,258.2,181.1,41.1,223.4,23.4,24.6
ZZ031,SALTARA,Chile,Atacama,Salar de Tara,39933.9,10763.2,1351.1,517.8,11961.8,70.8,249.4,175.7,40.1,215.6,21.2,24.1
ZZ032,SALTARA,Chile,Atacama,Salar de Tara,40136.3,10344.4,1318.2,526.8,11599.7,68.7,249.3,176.2,39.6,225.9,22,25.1
ZZ033,QPC,Chile,Atacama,Quebrada Pelun,36952.7,3262.3,407.2,1466.2,4409,45.7,269.7,16.9,30.7,20.2,38.6,5.3
ZZ034,QPC,Chile,Atacama,Quebrada Pelun,37132,2822.7,373.2,1383.3,4346.1,44.9,264.1,16.6,28.7,15.4,39.5,5
ZZ035,QPC,Chile,Atacama,Quebrada Pelun,34022.2,3464.9,380.6,1399.8,4329.1,39.8,266.3,18.1,29.8,19.4,40.8,4
ZZ036,QPC-1,Chile,Atacama,Quebrada Pelun,37158.1,3306.1,453.2,1482.8,4543,46.1,274.8,18.7,30.3,14.4,38.4,5
ZZ037,QPC-1,Chile,Atacama,Quebrada Pelun,37010.6,3191,467.6,1479.1,4373.9,38.4,275.5,17.9,33.4,24.4,40.2,5.2
ZZ038,QPC-1,Chile,Atacama,Quebrada Pelun,36471.4,2622,445.3,1403.6,4270.6,43.5,274.4,17.9,30.6,18.5,40.3,6.9
TOC001,TOCOMAR,Argentina,Salta,Alto Tocomar,39253.9,3518.4,302.4,1065.2,4142.9,57.5,747.7,18.5,69.1,9.2,39.9,0
TOC002,TOCOMAR,Argentina,Salta,Alto Tocomar,30020.2,2337.6,255.2,937.9,3914.8,58.3,725.3,17.7,66.4,6.2,39.7,0
TOC003,TOCOMAR,Argentina,Salta,Alto Tocomar,27667.4,2188.8,196.1,677,3389.4,50.2,661.3,16.5,62,7.1,38,0
TOC004,TOCOMAR,Argentina,Salta,Alto Tocomar,35942.6,3604.8,248.3,957.8,3946.2,51,731,17.4,67.1,8.1,41.2,0
TOC005,TOCOMAR,Argentina,Salta,Alto Tocomar,35448.7,2783.1,332.3,936.2,3919.3,56.5,726.2,15.5,66.7,6.5,40.7,0
TOC006,TOCOMAR,Argentina,Salta,Alto Tocomar,39651.2,3539.4,396.8,1194.6,4933.3,54.9,765,19,69.6,7.4,42.5,0
TOC007,TOCOMAR,Argentina,Salta,Alto Tocomar,35844.9,3115.3,479.9,1007.7,5223.3,53.2,726,18.8,68,7,40.8,0
TOC008,TOCOMAR,Argentina,Salta,Alto Tocomar,28190.2,3246.5,672.5,832.4,8522.5,53,702.4,20.1,65.7,8.3,39.5,0
